By, Од
Cancel, Откажи
Click to comment, Притисни за коментар
Commented on post, Коментирај
Comments, Коментари
Confirm your account, Потврди го профилот
Content, Податокот
Content is required, Податокот е задожителен
Custom Slug, Сопствено дефинирано URL
Date, Дата
Delete, Избриши
Delete comment, Избриши коментар
Delete post, Избриши линк
Do you want to delete this comment, Дали сакаш да го избришеш овој коментар ?
Do you want to delete this post, Дали сакаш да го избришеш овој линк ?
Edit, Измени
Edit comment, Измени го коментарот
Edit post, Измени го линкот
Email, е-маил
Email address already registered, Е-маил адресата е веќе регистрирана
Email address is invalid, Е-маил адресата е невалидна
Email address is required, Е-маил адресата е задолжителна
Full Name, Целосно име
Full Name is required, Целосно име е задолжително
Home, Дома
Incorrect user/password combination or invalid account, Погрешна име / лозинка комбинација или невалиден профил
Invalid arguments, Невалиден параметар
Invalid email address, Невалидна е-маил адреса
List posts, Листа со линкови
Login, Најави се
Logout, Одјави се
Name, Име
Name is required, Името е задолжително
Next, Следно
Next post, Следен линк
New comment, нов коментар
No found results for, Нема пронајдени резултати за
No one has commented yet, Нема коментар
No one has posted yet, Нема линк
No one has added any tags yet, Нема ознаки
Page not found, Страната не е најдена
Password, Лозинка
Password is required, Лозинка е задолжителна
Posted, Објавено
Previous, Претходно
Previous post, Претходен линк
Published, Објавено
Recent comments, Најнови коментари
Recent posts, Најнови линкови
Register, Регистрирај се
Request a new password, Побарај нова лозинка
Reset password, Ресетирај ја лозинката
RSS Syndication, RSS Синхронизација
Save, Зачувај
says, кажува
Search, Пребарување
Search results for, Пребарај резултати за
Slug, URL
Status, Статус
Status is required, Статус е задолжителенa
Submit comment, Напиши коментар
Tag, Ознака
Tags, Ознаките за задолжителни
Tag cloud, Облак на ознака
Tags are required, Ознаките за задолжителни
There are already an existing post with this title or slug, Веќе постојат линкови со ова име
Third-party login, Најава за останати
Text Type, Тип на текст
Text type is required, Типот на текстот е задолжителен
Title, Наслов
Title is required, Насловот е задолжителен
Unpublished, Необјавено
User does not exist, Профилот не постои
View more tags, Погледај повеќе ознаки
Vote, Гласај
Write a new post, Напиши нова објава
